sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-93,9,1005,-11,27,1
1,-164,13,970,-21,10,-1
2,-124,-8,994,-24,-11,-7
3,3,-43,999,-18,-28,-14
4,118,-50,1005,-14,-19,-12
5,150,-37,1001,-8,-4,-10
6,50,-8,1011,-9,22,-1
7,-72,9,998,-8,30,0
8,-166,15,977,-14,19,0
9,-134,-2,990,-19,-8,-6
10,-23,-41,1005,-21,-27,-12
11,106,-48,1003,-12,-24,-12
12,150,-45,1002,-11,-5,-9
13,74,-12,1006,-9,20,-2
14,-52,7,997,-9,29,0
15,-154,23,977,-17,20,1
16,-140,-6,1000,-19,-5,-5
17,-52,-34,991,-21,-24,-11
18,93,-42,1011,-16,-27,-14
19,147,-52,1007,-12,-10,-12
20,90,-22,999,-9,15,-2
21,-26,5,994,-10,29,-1
22,-147,23,988,-16,21,1
23,-154,0,987,-20,-1,-5
24,-74,-29,990,-21,-22,-10
25,82,-45,1008,-14,-28,-12
26,140,-51,1013,-12,-10,-11
27,108,-24,1007,-10,13,-4
28,-1,3,994,-10,26,-1
29,-134,17,982,-14,23,2
30,-162,1,987,-20,3,-3
31,-85,-20,994,-21,-18,-10
32,53,-44,1006,-16,-28,-13
33,134,-49,1012,-12,-17,-12
34,125,-25,1006,-9,8,-5
35,15,0,995,-10,28,0
36,-118,15,1001,-13,27,1
37,-171,5,974,-18,8,-3
38,-100,-14,983,-20,-16,-8
39,33,-47,1015,-18,-28,-12
40,125,-51,1005,-13,-17,-12
41,142,-31,1004,-9,5,-7
42,26,-1,1007,-9,26,-2
43,-100,14,998,-13,28,1
44,-162,10,973,-19,8,-2
45,-121,-9,992,-23,-13,-6
46,11,-49,1004,-17,-27,-13
47,116,-53,1003,-14,-20,-13
48,145,-33,1008,-9,0,-7
49,47,-6,1005,-10,22,-2
50,-81,11,1004,-13,28,1
51,-163,14,970,-17,15,-1
52,-130,-3,996,-21,-11,-7
53,-14,-43,998,-20,-27,-11
54,108,-46,1002,-14,-22,-12
55,151,-45,1006,-12,-3,-9
56,65,-12,1006,-9,20,-3
57,-61,8,998,-11,27,-1
58,-157,19,976,-16,17,-2
59,-140,-6,996,-20,-6,-5
60,-40,-36,995,-21,-25,-12
61,97,-42,1011,-18,-25,-13
62,150,-50,1004,-12,-7,-10
63,84,-18,997,-8,16,-2
64,-37,6,999,-12,28,0
65,-150,21,982,-18,21,1
66,-150,-4,996,-19,-1,-7
67,-66,-30,984,-19,-23,-12
68,89,-41,1012,-16,-28,-12
69,146,-51,1011,-14,-12,-11
70,103,-20,1006,-10,15,-4
71,-15,4,991,-11,28,-1
72,-141,20,983,-14,22,1
73,-159,-1,990,-19,1,-4
74,-82,-20,991,-21,-19,-9
75,68,-43,1009,-18,-27,-13
76,133,-57,1009,-14,-15,-12
77,118,-26,1003,-7,8,-4
78,11,-1,998,-9,28,-2
79,-127,19,994,-14,26,3
80,-159,5,976,-18,6,-3
81,-95,-11,988,-20,-16,-8
82,46,-47,1008,-20,-29,-13
83,123,-56,1009,-14,-18,-12
84,138,-31,1002,-11,4,-8
85,26,-2,1008,-10,27,-3
86,-108,16,995,-13,26,2
87,-163,12,978,-18,8,-2
88,-112,-11,983,-21,-14,-7
89,18,-49,1008,-19,-27,-12
90,119,-53,1004,-14,-19,-13
91,141,-40,1007,-9,1,-8
92,43,-6,1002,-9,22,-1
93,-87,10,1007,-11,28,1
94,-158,16,970,-17,14,-1
95,-129,-6,998,-20,-10,-7
96,-9,-39,998,-22,-27,-13
97,112,-51,1003,-15,-22,-13
98,150,-41,1003,-10,-4,-9
99,56,-12,1011,-10,21,-2
100,-64,9,1001,-9,28,0
101,-159,19,975,-15,17,0
102,-137,-2,995,-19,-7,-6
103,-34,-38,999,-21,-25,-12
104,102,-45,1007,-17,-24,-13
105,150,-49,1003,-12,-7,-10
106,76,-18,1003,-7,16,-2
107,-42,8,999,-10,27,0
108,-152,22,981,-17,19,1
109,-147,-3,998,-20,-3,-6
110,-57,-32,990,-21,-24,-11
111,85,-42,1009,-15,-27,-12
112,150,-53,1010,-12,-11,-11
113,93,-22,1006,-8,15,-5
114,-17,8,986,-11,28,0
115,-144,21,987,-15,21,1
116,-157,0,992,-19,0,-4
117,-77,-26,988,-22,-21,-9
118,73,-44,1010,-16,-28,-13
119,135,-56,1015,-11,-12,-11
120,116,-25,1003,-8,10,-5
121,3,1,998,-11,27,-2
122,-130,20,987,-14,26,2
123,-164,0,985,-19,4,-3
124,-91,-12,987,-20,-17,-9
125,47,-46,1012,-18,-28,-13
126,129,-55,1007,-13,-17,-12
127,133,-28,1001,-8,7,-5
128,18,1,1006,-10,27,-2
129,-110,13,1000,-14,26,2
130,-165,9,972,-21,8,-2
131,-105,-9,985,-21,-15,-8
132,24,-48,1013,-18,-28,-14
133,122,-55,1006,-15,-19,-13
134,144,-33,1005,-8,2,-6
135,31,-2,1005,-8,24,-2
136,-91,14,1001,-12,29,1
137,-162,15,974,-17,13,-2
138,-125,-5,994,-21,-11,-8
139,3,-49,1002,-19,-27,-14
140,115,-48,998,-13,-22,-12
141,147,-40,1005,-8,-2,-8
142,53,-8,1012,-9,22,-2
143,-72,9,998,-13,28,1
144,-159,19,976,-16,16,-1
145,-134,-3,993,-20,-9,-7
146,-25,-39,999,-21,-26,-12
147,103,-49,1005,-15,-23,-12
148,149,-46,1003,-10,-5,-9
149,74,-17,1001,-6,19,-2
150,-51,9,1002,-12,27,1
151,-151,26,978,-19,18,1
152,-144,-5,997,-20,-2,-6
153,-52,-32,993,-19,-23,-11
154,92,-45,1008,-15,-26,-13
155,146,-53,1008,-10,-9,-11
156,91,-22,1001,-8,15,-4
157,-24,6,991,-9,29,-3
158,-144,20,987,-15,23,2
159,-151,1,994,-20,-1,-5
160,-74,-23,986,-20,-21,-10
161,78,-42,1011,-17,-27,-13
162,137,-55,1011,-13,-11,-11
163,109,-26,1004,-9,11,-4
164,0,1,993,-9,26,-2
165,-135,17,986,-15,24,2
166,-158,2,984,-20,3,-3
167,-89,-16,994,-20,-17,-9
168,54,-41,1007,-18,-27,-12
169,131,-55,1009,-11,-17,-12
170,127,-26,1004,-8,7,-5
171,16,0,1002,-9,26,-1
172,-116,12,998,-13,27,1
173,-164,8,973,-17,8,-3
174,-105,-12,985,-21,-16,-8
175,29,-44,1016,-16,-29,-13
176,123,-51,1004,-15,-19,-12
177,141,-30,1008,-10,4,-8
178,31,-4,1005,-9,24,-2
179,-98,9,1000,-12,26,1
180,-164,8,973,-18,11,-2
181,-118,-6,995,-21,-11,-8
182,6,-45,1001,-19,-26,-11
183,115,-46,1000,-14,-20,-12
184,148,-36,1006,-9,-3,-8
185,47,-6,1007,-10,22,-3
186,-73,9,1003,-12,29,0
187,-161,16,973,-16,15,0
188,-132,-4,993,-19,-9,-6
189,-22,-43,1000,-19,-27,-12
190,105,-45,1007,-15,-24,-13
191,154,-47,999,-12,-5,-10
192,70,-12,1008,-8,20,-1
193,-53,6,995,-10,28,0
194,-156,21,980,-17,19,0
195,-144,-6,994,-20,-4,-6
196,-45,-34,995,-19,-24,-11
197,96,-45,1011,-15,-26,-13
198,144,-48,1004,-12,-9,-10
199,87,-20,1005,-7,16,-4
200,-32,2,993,-10,29,-1
201,-147,23,984,-14,21,0
202,-149,-5,994,-20,-1,-6
203,-67,-23,988,-19,-22,-10
204,83,-41,1009,-16,-27,-14
205,138,-53,1012,-13,-10,-12
206,107,-26,1008,-10,12,-4
207,-9,2,990,-9,27,-2
208,-135,19,987,-13,22,1
209,-153,3,988,-18,2,-4
210,-86,-21,991,-21,-18,-9
211,62,-44,1010,-18,-27,-12
212,128,-59,1006,-14,-14,-12
213,120,-26,1005,-7,9,-6
214,14,2,1000,-10,26,-1
215,-120,11,1000,-14,27,2
216,-158,9,971,-19,5,-4
217,-100,-12,988,-20,-15,-7
218,34,-43,1008,-19,-29,-12
219,121,-55,1009,-14,-16,-13
220,135,-33,1007,-10,5,-7
221,28,-2,999,-9,26,-1
222,-97,13,1002,-10,26,1
223,-163,13,971,-18,10,-2
224,-115,-8,992,-22,-12,-7
225,8,-46,1005,-20,-26,-14
226,115,-48,1004,-16,-20,-13
227,149,-37,1006,-8,-1,-9
228,41,-9,1009,-7,24,-3
229,-78,12,1003,-12,29,0
230,-159,15,973,-17,16,-1
231,-129,1,997,-22,-9,-6
232,-15,-41,997,-21,-27,-12
233,105,-47,1007,-13,-23,-13
234,151,-43,1000,-12,-4,-7
235,63,-14,1009,-7,21,-3
236,-54,6,999,-10,28,1
237,-155,22,979,-16,20,0
238,-137,-2,992,-18,-6,-5
239,-47,-35,998,-20,-24,-11
240,96,-45,1008,-15,-25,-12
241,147,-51,1002,-11,-8,-11
242,85,-19,1001,-7,15,-3
243,-33,6,997,-9,29,-1
244,-147,21,982,-16,21,0
245,-147,-3,998,-18,-2,-5
246,-66,-27,986,-21,-23,-11
247,77,-41,1006,-16,-27,-13
248,143,-55,1016,-13,-12,-11
249,101,-26,1002,-9,13,-4
250,-7,4,990,-10,28,-3
251,-135,22,986,-14,24,1
252,-159,3,991,-20,3,-3
253,-84,-20,987,-22,-18,-9
254,59,-43,1013,-18,-27,-13
255,128,-57,1008,-12,-15,-11
256,126,-28,1000,-7,8,-5
257,9,1,1005,-9,26,1
258,-119,17,991,-15,27,2
259,-162,6,979,-17,7,-4
260,-99,-11,983,-22,-17,-9
261,35,-47,1010,-19,-29,-14
262,122,-54,1007,-14,-17,-12
263,139,-28,1006,-9,5,-7
264,28,-3,1001,-10,26,-2
265,-103,13,1000,-13,27,2
266,-161,12,973,-19,9,-1
267,-117,-8,991,-21,-13,-8
268,14,-44,1005,-19,-27,-13
269,117,-53,1001,-14,-19,-13
270,143,-33,1006,-8,0,-8
271,42,-7,1006,-9,22,-1
272,-81,11,1000,-12,30,0
273,-161,17,973,-17,14,-2
274,-125,-3,996,-21,-10,-7
275,-13,-45,997,-20,-27,-12
276,106,-47,1003,-14,-23,-12
277,152,-45,1001,-10,-3,-11
278,61,-11,1007,-8,21,-2
279,-58,14,1000,-10,29,1
280,-156,20,979,-17,18,-1
281,-139,-5,996,-20,-6,-5
282,-40,-39,996,-20,-24,-11
283,96,-46,1011,-15,-26,-14
284,149,-50,1004,-11,-7,-9
285,83,-19,998,-6,16,-2
286,-35,7,996,-11,27,0
287,-149,24,984,-16,21,1
288,-146,-2,993,-19,-2,-5
289,-67,-28,988,-21,-23,-12
290,85,-46,1008,-15,-28,-13
291,139,-54,1014,-13,-11,-10
292,104,-24,1003,-8,14,-2
293,-12,5,994,-10,27,-1
294,-136,22,981,-14,22,2
295,-159,3,989,-20,2,-4
296,-85,-21,991,-21,-20,-10
297,62,-48,1010,-18,-28,-13
298,133,-59,1010,-11,-15,-12
299,121,-25,1002,-7,9,-4
300,13,0,1001,-10,26,-3
301,-121,17,996,-14,26,2
302,-166,8,971,-22,7,-2
303,-96,-14,991,-21,-17,-9
304,38,-49,1008,-17,-28,-13
305,123,-54,1006,-14,-17,-12
306,136,-30,1009,-10,5,-7
307,26,-5,1000,-9,26,-2
308,-101,18,999,-12,28,2
309,-164,12,974,-19,10,-2
310,-113,-9,990,-20,-13,-9
311,10,-49,1003,-19,-26,-11
312,117,-52,1004,-15,-21,-13
313,146,-34,1005,-8,-2,-8
314,44,-6,1006,-9,23,-1
315,-78,11,1002,-11,28,1
316,-159,20,974,-16,15,0
317,-127,-3,992,-23,-10,-6
318,-16,-44,998,-19,-26,-12
319,107,-48,1004,-16,-22,-11
320,149,-47,999,-10,-3,-9
321,63,-13,1007,-8,22,-3
322,-57,8,1001,-10,28,-1
323,-155,25,977,-15,16,0
324,-136,-5,993,-20,-6,-4
325,-43,-35,996,-20,-23,-11
326,98,-47,1009,-16,-24,-12
327,148,-54,1005,-11,-7,-11
328,86,-21,1003,-8,17,-3
329,-34,10,991,-9,30,-1
330,-151,22,988,-16,22,2
331,-147,0,991,-20,-2,-5
332,-68,-29,989,-21,-22,-10
333,83,-43,1008,-18,-28,-13
334,141,-57,1016,-12,-9,-11
335,107,-25,1005,-9,14,-3
336,-12,4,994,-9,28,-1
337,-136,22,985,-12,24,2
338,-159,3,986,-19,2,-3
339,-85,-19,992,-21,-19,-10
340,62,-44,1010,-20,-28,-13
341,128,-60,1008,-14,-14,-13
342,123,-23,1003,-8,9,-7
343,8,-1,1004,-10,26,-3
344,-120,13,993,-15,22,-1
345,-162,8,979,-20,5,-3
346,-98,-10,983,-21,-17,-9
347,34,-46,1012,-19,-29,-13
348,123,-55,1006,-13,-17,-13
349,138,-33,1004,-9,4,-7
350,26,-4,1004,-8,26,0
351,-101,14,999,-10,27,1
352,-161,11,971,-20,10,-1
353,-116,-8,993,-21,-13,-5
354,9,-48,1002,-21,-28,-12
355,120,-53,999,-14,-20,-13
356,145,-36,1010,-7,0,-8
357,47,-6,1001,-7,22,-2
358,-79,11,1006,-11,28,0
359,-164,19,971,-17,14,0
360,-132,-2,996,-20,-9,-7
361,-13,-44,1001,-18,-27,-13
362,104,-49,1000,-15,-23,-13
363,152,-43,1002,-11,-5,-10
364,65,-17,1008,-9,21,-3
365,-57,10,996,-11,28,1
366,-187,23,813,-9,13,2
367,214,30,904,21,-10,4
368,115,18,1383,-12,13,-8
369,-209,2,767,-55,29,4
370,-234,-115,788,-51,21,-21
371,-314,-65,1066,-4,-19,11
372,259,-39,1007,-18,-51,-27
373,269,-75,991,-2,-15,-24
374,68,84,1021,10,2,24
375,6,26,1078,-22,24,-20
376,-229,-51,921,-20,35,6
377,-172,21,947,-23,4,11
378,58,-82,1094,-21,-21,-34
379,84,-26,921,-7,-20,-2
380,99,42,1008,-13,-11,-4
381,-21,-16,1076,-20,9,-12
382,-107,-3,932,-24,20,8
383,-99,-46,993,-26,8,-6
384,-16,-75,1027,-12,-13,-14
385,89,-36,968,-5,-18,-10
386,58,0,1004,-4,-10,-9
387,5,35,1036,-8,6,-4
388,-68,2,972,-22,18,-3
389,-119,-7,972,-23,7,0
390,-24,-49,1024,-21,-14,-11
391,33,-70,986,-13,-19,-14
392,88,-16,994,-4,-15,-8
393,63,8,1032,-8,4,-10
394,-25,16,992,-16,18,0
395,-99,14,978,-22,17,0
396,-99,-18,1006,-26,2,-5
397,-28,-56,987,-20,-16,-11
398,50,-51,991,-12,-21,-13
399,106,-31,1015,-8,-10,-13
400,62,-4,1002,-9,10,-7
401,-27,18,1003,-14,24,-1
402,-109,2,987,-18,19,-2
403,-124,-59,982,-16,-1,-4
404,-61,-89,981,-4,-21,-10
405,62,-45,1006,5,-25,-14
406,138,13,1007,5,-10,-12
407,93,68,1008,-5,15,-4
408,-12,65,1016,-20,27,-1
409,-130,15,980,-33,20,0
410,-152,-54,985,-31,0,-3
411,-78,-106,986,-23,-21,-11
412,66,-88,1005,-8,-26,-12
413,145,-45,1002,1,-12,-11
414,108,25,1008,3,11,-5
415,-4,65,1005,-7,27,-1
416,-135,54,989,-22,25,1
417,-161,-6,993,-31,2,-4
418,-90,-68,982,-28,-21,-10
419,68,-89,999,-17,-29,-15
420,139,-78,1010,-4,-14,-12
421,123,-13,1014,0,10,-5
422,4,39,995,-4,27,-3
423,-131,60,987,-16,25,2
424,-164,15,993,-26,4,-3
425,-102,-31,984,-28,-18,-8
426,54,-72,1008,-22,-29,-14
427,130,-85,1007,-12,-18,-14
428,132,-33,999,-1,7,-6
429,20,16,1005,-3,27,-2
430,-117,38,998,-11,29,2
431,-166,31,977,-20,9,-3
432,-110,-5,984,-24,-16,-8
433,33,-54,1011,-23,-30,-13
434,124,-75,1002,-17,-19,-11
435,140,-47,1003,-9,4,-8
436,33,-8,1009,-5,26,-2
437,-102,21,995,-8,28,2
438,-162,27,973,-15,11,-3
439,-122,6,996,-21,-13,-8
440,8,-41,1000,-22,-28,-14
441,117,-61,1001,-18,-21,-14
442,147,-50,1008,-11,-1,-9
443,48,-20,1000,-8,23,-3
444,-80,7,1006,-9,29,1
445,-162,27,972,-14,14,0
446,-134,8,1000,-19,-9,-7
447,-14,-32,997,-22,-28,-12
448,107,-46,1003,-17,-22,-12
449,150,-50,1004,-13,-4,-9
450,64,-23,1007,-8,21,-2
451,-58,4,998,-9,29,0
452,-158,21,977,-14,17,2
453,-142,2,995,-19,-5,-5
454,-40,-31,1000,-19,-25,-12
455,97,-39,1009,-17,-25,-12
456,151,-49,1005,-12,-7,-13
457,83,-23,1001,-10,16,-2
458,-35,0,993,-12,28,0
459,-149,19,989,-16,21,0
460,-148,-1,994,-18,-2,-5
461,-66,-26,986,-19,-23,-10
462,82,-37,1011,-15,-27,-13
463,141,-50,1010,-13,-11,-12
464,103,-26,1003,-10,14,-4
465,-25,-20,890,-9,32,2
466,317,16,372,67,35,16
467,181,70,1745,6,68,-3
468,-566,138,687,-104,46,35
469,-381,-75,429,-55,28,-43
470,-448,-11,1090,12,-49,-90
471,344,-75,1331,-50,-95,-2
472,497,-324,809,-11,-31,-59
473,100,-51,919,25,15,23
474,42,-20,1279,28,30,1
475,-264,38,857,12,61,-10
476,-385,124,812,-6,18,38
477,22,143,1279,-11,-51,-32
478,181,-54,895,-43,-41,-27
479,203,1,939,-28,-20,5
480,87,-82,1180,-33,10,-12
481,-93,-130,898,-26,42,-1
482,-251,-48,913,-11,28,15
483,-139,-17,1090,-1,-14,-17
484,63,-9,963,-4,-33,-19
485,134,58,978,-1,-31,-9
486,127,51,1088,-18,-9,-12
487,41,-19,986,-30,25,-6
488,-157,-39,936,-33,31,8
489,-153,-47,1039,-24,7,-7
490,-54,-89,980,-19,-19,-18
491,46,-8,957,-5,-31,-9
492,146,32,1058,-9,-22,-16
493,119,28,1012,-20,10,-11
494,-12,31,973,-30,32,6
495,-116,3,1007,-38,27,1
496,-125,-64,992,-35,8,-5
497,-85,-88,942,-21,-14,-7
498,-9,-94,1008,-5,-27,-15
499,117,-42,1018,1,-22,-15
500,107,16,986,3,5,-5
501,50,80,1017,-6,21,0
502,-82,56,1018,-22,27,1
503,-156,0,968,-32,10,-1
504,-126,-66,988,-31,-16,-8
505,18,-88,1005,-18,-28,-14
506,124,-87,989,-8,-19,-13
507,140,-22,1019,2,2,-7
508,43,28,1006,-4,23,-3
509,-102,62,980,-14,26,3
510,-171,22,1002,-23,9,-2
511,-128,-19,985,-28,-13,-7
512,31,-73,997,-24,-29,-13
513,124,-84,1008,-14,-21,-12
514,147,-46,1011,-6,2,-8
515,47,3,993,-3,25,-3
516,-113,39,995,-8,31,3
517,-170,29,984,-18,13,-4
518,-128,-5,982,-24,-13,-9
519,19,-42,1002,-23,-31,-12
520,125,-72,1011,-17,-22,-15
521,152,-48,1002,-7,-1,-8
522,53,-12,1003,-8,24,-2
523,-97,17,1001,-10,30,2
524,-168,21,975,-16,14,0
525,-134,4,980,-20,-11,-5
526,0,-36,1011,-19,-30,-13
527,117,-54,1006,-16,-23,-15
528,155,-40,1002,-11,-1,-9
529,62,-17,1011,-9,22,-3
530,-74,4,1000,-10,31,2
531,-167,13,969,-16,17,0
532,-138,3,997,-19,-7,-6
533,-24,-33,993,-20,-27,-12
534,108,-42,1001,-15,-25,-14
535,155,-41,1010,-12,-5,-9
536,72,-19,1007,-12,21,-3
537,-54,0,1002,-11,30,0
538,-164,13,974,-14,20,2
539,-147,-1,992,-19,-6,-5
540,-44,-31,997,-19,-26,-12
541,95,-42,1007,-17,-26,-11
542,161,-43,1006,-13,-8,-11
543,85,-19,1004,-10,17,-3
544,-37,7,1000,-13,28,1
545,-157,16,984,-16,22,2
546,-152,-3,988,-19,-1,-4
547,-66,-38,991,-19,-23,-11
548,85,-39,1010,-16,-30,-12
