sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,54,-67,999,-9,-14,-8
1,81,-39,999,-7,-1,-7
2,50,-16,1002,-5,9,-8
3,-28,13,997,-5,17,-6
4,-84,12,1002,-11,8,-10
5,-61,-29,995,-12,-7,-14
6,1,-53,987,-10,-12,-11
7,53,-55,1000,-7,-9,-6
8,66,-29,998,-2,-1,-6
9,24,-5,1001,-3,10,-6
10,-25,8,998,-7,12,-7
11,-83,-4,1000,-11,8,-7
12,-59,-19,998,-14,-3,-5
13,0,-38,993,-12,-13,-6
14,63,-26,984,-12,-9,-6
15,73,-3,995,-15,1,-4
16,16,33,1007,-17,12,-2
17,-51,48,1001,-30,14,-1
18,-70,26,1000,-41,3,-6
19,-34,-15,979,-46,-6,-8
20,48,-51,1018,-47,-9,-5
21,70,-81,995,-40,0,-3
22,62,-73,1004,-29,13,-1
23,-31,-65,998,-21,19,-3
24,-103,-58,1007,-15,14,-4
25,-94,-57,986,-8,-4,-7
26,-31,-48,988,-3,-16,-10
27,55,-49,1007,4,-20,-11
28,91,-30,998,9,-10,-10
29,58,6,998,6,7,-7
30,-14,33,1004,-2,16,-4
31,-79,12,997,-9,12,-9
32,-70,-27,989,-12,-3,-11
33,-23,-43,985,-11,-13,-9
34,43,-50,1007,-11,-11,-6
35,62,-24,997,-7,-2,-6
36,42,-4,1001,-5,7,-3
37,-14,3,1003,-9,12,-5
38,-67,-4,993,-11,9,-6
39,-63,-24,999,-14,-3,-5
40,-2,-44,1001,-12,-12,-7
41,47,-45,975,-11,-10,-5
42,73,-16,1009,-9,-2,-5
43,14,5,998,-10,9,-4
44,-35,15,1005,-13,12,-4
45,-67,-12,998,-21,4,-8
46,-39,-37,993,-19,-5,-6
47,11,-45,983,-18,-11,-5
48,51,-38,1004,-15,-6,-7
49,61,-15,992,-13,2,-7
50,16,1,1010,-15,12,-8
51,-49,-2,1006,-19,12,-7
52,-66,-25,995,-19,4,-7
53,-44,-50,986,-17,-6,-8
54,17,-59,990,-13,-11,-8
55,58,-38,1001,-10,-7,-6
56,51,-22,1008,-7,3,-6
57,3,0,1003,-10,10,-5
58,-57,-12,998,-10,11,-6
59,-59,-35,991,-10,0,-7
60,-30,-52,994,-5,-9,-7
61,37,-64,998,-2,-12,-9
62,66,-45,1003,5,-5,-8
63,43,-25,1001,9,7,-8
64,-17,-18,1009,9,12,-8
65,-69,-15,990,9,9,-5
66,-66,-33,1003,10,-2,-7
67,-10,-61,997,12,-11,-8
68,42,-63,992,22,-10,-9
69,71,-33,998,25,-3,-7
70,23,-8,1006,26,7,-6
71,-31,2,1000,23,11,-5
72,-74,-2,1003,19,4,-4
73,-47,-32,999,18,-7,-7
