sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,114,44,998,-8,22,-1
1,-81,32,999,-17,32,4
2,-199,10,993,-14,16,1
3,-193,0,966,-13,-10,-3
4,-14,11,998,-11,-28,-10
5,152,13,1022,-10,-26,-13
6,210,28,1006,-10,-3,-8
7,120,40,995,-17,20,0
8,-77,29,1002,-15,32,4
9,-201,11,988,-18,17,1
10,-191,-1,968,-17,-7,-4
11,-21,6,1001,-10,-28,-8
12,146,15,1013,-12,-27,-11
13,216,24,1014,-12,-4,-7
14,122,41,994,-14,21,0
15,-70,32,1004,-16,31,4
16,-200,6,989,-14,17,2
17,-196,3,967,-15,-7,-2
18,-20,9,999,-11,-27,-9
19,140,16,1017,-9,-25,-11
20,216,27,1010,-12,-5,-8
21,126,35,994,-13,22,-1
22,-66,29,1001,-15,33,4
23,-196,8,990,-16,18,1
24,-198,1,968,-12,-6,-3
25,-25,10,996,-11,-28,-9
26,143,16,1022,-13,-26,-10
27,214,30,1010,-12,-5,-8
28,131,40,993,-15,22,-2
29,-66,32,1004,-16,33,4
30,-197,9,988,-16,19,3
31,-197,0,968,-15,-6,-3
32,-30,6,998,-12,-27,-9
33,136,16,1015,-10,-26,-12
34,217,28,1012,-12,-5,-9
35,130,42,994,-12,20,-2
36,-58,33,1000,-16,32,4
37,-197,8,988,-16,20,2
38,-203,0,968,-17,-5,-1
39,-32,2,1000,-11,-28,-9
40,134,15,1019,-12,-26,-11
41,219,29,1011,-12,-6,-8
42,136,43,997,-11,20,-2
43,-53,33,1002,-16,32,3
44,-194,12,987,-17,20,1
45,-207,4,970,-15,-5,-1
46,-34,1,999,-10,-28,-10
47,125,11,1018,-10,-26,-11
48,220,25,1006,-10,-8,-9
49,140,43,1001,-13,20,-3
50,-51,30,999,-18,32,4
51,-195,13,986,-16,20,1
52,-206,4,972,-15,-5,-2
53,-41,3,999,-14,-28,-8
