sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,180,25,994,-17,11,-2
1,18,15,1007,-13,33,2
2,-160,6,990,-17,30,3
3,-212,-2,981,-13,5,-2
4,-134,11,972,-4,-24,-7
5,73,41,1017,1,-33,-11
6,195,34,1018,-19,-19,-10
7,190,31,996,-9,10,-4
8,46,17,1002,-22,30,1
9,-144,6,988,-10,31,2
10,-213,-3,986,-10,8,-2
11,-149,16,975,-14,-19,-6
12,47,33,1009,-8,-32,-12
13,187,36,1020,-19,-21,-10
14,200,30,1008,-17,5,-3
15,72,23,991,-14,30,0
16,-130,3,996,-17,33,3
17,-216,2,976,-11,10,-1
18,-164,9,982,-14,-16,-6
19,25,29,1016,-12,-33,-11
20,168,36,1010,-13,-22,-9
21,219,35,1006,-16,2,-6
22,81,16,1000,-14,28,2
23,-103,6,997,-14,33,4
24,-213,-3,972,-15,16,1
25,-176,15,977,-11,-12,-5
26,3,28,1018,-16,-33,-10
27,151,31,1012,-15,-26,-12
28,225,40,998,-13,-1,-7
29,105,19,1008,-15,27,0
30,-84,2,998,-14,35,3
31,-210,0,973,-11,18,-1
32,-185,13,971,-11,-9,-5
33,-25,26,1014,-11,-31,-11
34,149,37,1016,-16,-27,-11
35,218,38,1011,-14,-4,-7
36,122,26,1000,-17,23,0
37,-66,-1,997,-15,35,3
38,-201,1,971,-12,20,1
39,-198,2,979,-13,-7,-4
40,-52,31,1007,-10,-31,-9
41,127,32,1007,-15,-31,-11
42,226,47,1017,-16,-9,-7
43,135,24,1008,-17,21,1
44,-36,8,998,-15,35,1
45,-193,-3,969,-14,24,2
46,-210,4,981,-12,-3,-3
47,-72,15,1001,-13,-29,-9
48,118,36,1008,-14,-31,-10
49,218,44,1009,-13,-11,-9
50,150,30,1016,-17,19,-2
51,-15,9,1007,-16,34,1
52,-180,1,964,-12,26,2
53,-208,0,978,-11,1,-3
54,-100,12,1000,-13,-27,-8
55,108,42,1008,-13,-34,-10
56,220,38,1009,-16,-14,-8
57,170,31,1006,-15,15,-1
58,2,17,1021,-15,34,2
59,-187,0,974,-15,28,2
60,-222,-3,960,-10,2,-3
61,-116,13,997,-11,-27,-8
62,102,43,1025,-14,-35,-10
63,228,38,1006,-15,-16,-8
64,181,31,1001,-16,15,-2
65,14,9,1003,-15,34,2
66,-168,3,991,-14,30,4
67,-227,3,985,-9,5,-1
68,-137,0,968,-10,-21,-8
69,90,43,1021,-11,-36,-8
70,219,28,1015,-16,-18,-7
71,200,13,1007,-13,14,-3
72,13,-55,997,-16,40,-6
73,-185,-2,973,4,31,1
74,-232,115,769,-3,36,-23
75,-143,96,581,-233,187,-95
76,160,-54,444,-108,89,-47
77,161,-44,794,12,-8,-3
78,190,-9,450,-231,41,11
79,60,-56,578,158,78,2
80,-109,11,630,-70,6,6
81,-255,18,833,-34,8,6
82,-178,82,905,105,3,-10
83,0,82,985,-133,-34,-9
84,190,58,967,45,-31,-14
85,250,10,990,-20,-11,2
86,112,-24,990,-83,29,-2
87,-110,-56,946,51,59,5
88,-232,-23,975,-51,10,3
89,-199,28,994,8,-25,-4
90,3,62,988,19,-32,-10
91,179,57,1014,-56,-20,-8
92,235,44,1002,15,9,-5
93,101,34,1014,-27,21,3
94,-112,-11,994,-23,28,5
95,-237,-5,973,7,24,1
96,-182,-4,976,-33,-10,-6
97,-20,22,1011,-2,-36,-10
98,168,42,1018,-10,-34,-11
99,247,42,1010,-25,-4,-5
100,126,35,997,-2,31,2
101,-72,-6,1010,-22,41,4
102,-232,-1,968,-11,23,1
103,-211,5,961,-5,-10,-3
104,-42,25,1022,-19,-34,-8
105,140,44,1011,-11,-29,-11
106,241,44,1014,-20,-8,-8
107,136,25,1004,-22,24,1
108,-48,0,1008,-10,37,1
109,-207,-21,945,-18,24,2
110,-230,3,978,-6,-4,-5
111,-92,-49,1014,-7,-31,-17
112,133,-32,1002,-2,-37,-19
113,269,89,1011,13,-13,-7
114,186,105,1022,-6,22,-2
115,-22,92,1020,-13,40,4
116,-212,37,959,-23,29,4
117,-262,-18,966,-29,0,-1
118,-100,-45,1006,-21,-33,-10
119,130,-22,1004,-15,-37,-14
120,259,8,1001,-6,-15,-10
121,184,75,1005,-2,20,-4
122,-7,75,995,-7,32,-8
123,-203,42,948,-31,46,-4
124,-246,16,893,-25,3,-9
125,-111,-12,942,-24,-29,-11
126,93,4,1006,-28,-39,-11
127,242,12,1012,-5,-17,-11
128,194,13,995,-25,12,-2
129,27,24,1004,1,29,1
130,-174,14,997,-15,32,4
131,-251,19,973,-15,6,-2
132,-137,11,965,-5,-28,-7
133,83,64,1029,-24,-41,-9
134,221,30,1023,-16,-18,-10
135,233,6,984,-26,10,-1
136,77,-98,928,-15,35,4
137,-142,-87,983,14,45,-1
138,-273,-14,952,15,24,-3
139,-208,127,982,25,-17,-6
140,32,179,1024,-9,-45,-11
141,210,134,1023,-31,-31,-13
142,239,64,999,-32,7,2
143,64,-66,982,-15,21,-9
144,-103,-134,992,-24,40,-2
145,-245,-109,950,21,12,-5
146,-159,-4,941,-4,-11,-11
147,0,70,1022,19,-33,-10
148,184,139,1004,6,-29,-15
149,221,92,999,-26,-5,-3
150,84,90,1015,-4,27,2
151,-105,-26,1004,-42,36,3
152,-229,-57,965,-18,15,0
153,-183,-55,975,-9,-20,-4
154,16,0,1028,-10,-40,-12
155,174,34,1009,4,-24,-12
156,228,85,996,-7,4,-4
157,97,74,1016,-14,28,1
158,-111,37,996,-16,32,4
159,-224,-8,966,-28,15,0
160,-190,-21,982,-16,-11,-6
161,1,-14,1013,-15,-36,-11
162,166,12,1009,-9,-28,-13
163,233,41,1006,-2,-2,-6
164,110,48,1006,-13,28,0
165,-90,32,1002,-11,36,2
166,-226,22,967,-15,18,0
167,-195,14,978,-18,-13,-5
168,-25,8,1011,-16,-34,-9
169,153,12,1014,-17,-29,-10
170,238,23,1006,-12,-5,-7
171,125,21,1004,-10,25,0
172,-64,14,999,-10,37,3
173,-214,18,969,-7,22,1
174,-204,22,980,-13,-7,-4
175,-49,24,1004,-15,-32,-9
176,138,31,1011,-18,-31,-11
177,232,26,1010,-17,-8,-8
178,133,15,1010,-14,23,0
179,-35,0,1001,-13,33,1
180,-201,3,963,-10,25,2
181,-206,19,981,-8,-4,-3
182,-76,22,1006,-14,-29,-9
183,125,46,1007,-14,-32,-11
184,224,32,1007,-17,-9,-9
185,150,22,1012,-17,19,-1
186,-15,1,1012,-16,33,2
187,-185,1,965,-12,26,2
188,-212,1,973,-10,0,-2
189,-95,17,1000,-10,-26,-8
190,105,46,1017,-16,-32,-10
191,217,40,999,-17,-12,-10
192,166,24,1008,-17,15,-2
193,2,11,1008,-15,32,2
194,-172,2,982,-13,27,3
195,-211,-3,978,-11,3,-2
196,-119,18,983,-10,-24,-6
197,91,43,1022,-14,-34,-10
198,203,37,1013,-14,-15,-10
199,179,29,995,-16,12,-3
200,31,15,1002,-14,33,0
201,-162,6,995,-13,31,2
202,-210,0,979,-13,5,-3
203,-141,11,977,-13,-20,-6
204,72,39,1010,-13,-34,-11
205,194,34,1021,-15,-18,-10
206,194,30,1003,-15,8,-4
207,47,17,996,-13,31,0
208,-140,6,989,-12,31,3
209,-219,-2,981,-10,10,0
210,-147,16,982,-12,-18,-7
211,44,32,1009,-12,-33,-10
212,180,34,1015,-15,-20,-11
213,204,32,1004,-16,5,-4
214,67,16,997,-14,28,0
215,-117,3,993,-12,32,2
216,-215,-1,972,-9,13,-1
217,-159,19,979,-10,-16,-6
218,18,30,1023,-12,-34,-12
219,164,35,1009,-15,-23,-11
220,211,31,1000,-14,3,-6
221,87,19,1001,-13,29,1
222,-98,0,1004,-13,34,3
223,-210,5,963,-12,15,-1
224,-173,12,977,-13,-11,-5
225,-4,30,1018,-12,-31,-10
226,148,36,1016,-16,-24,-11
227,215,34,1005,-14,-2,-7
228,101,24,1006,-15,25,-1
229,-71,3,995,-14,32,1
230,-207,1,969,-9,19,1
231,-183,16,984,-12,-9,-4
232,-31,23,1005,-14,-30,-9
233,139,35,1012,-16,-28,-11
234,222,38,1011,-16,-5,-8
235,112,22,1009,-16,23,0
236,-47,3,995,-15,33,3
237,-199,0,967,-10,22,0
238,-196,12,984,-10,-5,-4
239,-59,20,1004,-14,-29,-7
240,130,43,1009,-15,-29,-10
241,213,35,1007,-15,-8,-9
242,136,25,1016,-15,20,-1
243,-28,5,1008,-14,32,2
244,-189,5,964,-11,24,3
245,-199,4,977,-11,-1,-4
246,-86,20,1004,-12,-26,-8
247,114,40,1008,-13,-31,-11
248,214,35,1008,-15,-12,-10
249,149,25,1002,-16,17,-1
250,-3,10,1011,-14,32,-1
251,-175,6,981,-12,27,1
252,-208,1,969,-10,2,-3
253,-105,17,991,-11,-24,-8
254,94,35,1028,-13,-31,-10
255,202,37,1002,-14,-15,-9
256,177,21,1002,-15,13,-3
257,12,17,999,-14,32,2
258,-158,8,993,-13,29,1
259,-208,-1,984,-12,3,-2
260,-131,15,974,-10,-22,-6
261,77,35,1012,-13,-33,-11
262,191,35,1024,-14,-18,-11
263,188,25,998,-15,9,-3
264,46,16,996,-13,30,0
265,-141,4,993,-14,30,3
266,-213,6,983,-10,9,-1
267,-146,12,979,-12,-18,-7
268,48,35,1011,-11,-33,-10
269,183,36,1012,-15,-20,-11
270,204,25,1009,-17,7,-5
271,63,20,998,-14,29,1
272,-124,4,988,-16,32,3
273,-215,1,981,-10,12,-1
274,-160,16,977,-11,-15,-5
275,25,33,1020,-13,-34,-10
276,165,33,1012,-16,-23,-10
277,215,35,1000,-15,3,-4
278,83,12,1000,-16,28,0
279,-106,5,1000,-12,33,2
280,-205,0,967,-11,14,-1
281,-175,17,978,-9,-12,-4
282,1,27,1015,-13,-32,-10
283,139,68,1020,-14,-24,-11
284,221,30,949,-25,-5,-5
285,94,-4,1044,-15,23,-1
286,-65,21,970,-7,24,6
287,-179,-37,840,-19,8,4
288,-211,11,910,4,-1,-1
289,-24,39,1037,-16,-28,-7
290,130,45,990,-21,-32,-9
291,234,42,997,-4,-10,-7
292,137,20,997,-29,28,2
293,-55,-33,1017,-16,44,0
294,-210,-26,964,1,25,-2
295,-279,128,1020,-28,-8,-5
296,-150,19,628,110,-163,-20
297,229,-119,437,-93,8,64
298,228,2,658,210,-68,10
299,76,29,252,-130,13,39
300,-4,-15,574,-191,106,22
301,-179,32,672,328,65,-9
302,-128,-4,401,-507,31,-13
303,-6,77,599,400,-38,-14
304,55,53,834,-227,-81,-20
305,144,8,810,-116,28,-12
306,66,26,866,292,99,-2
307,-4,-26,994,-376,-4,6
308,-155,-41,1031,274,-5,-9
309,-210,23,930,-71,5,2
310,-101,26,995,-128,10,-8
311,111,60,1021,213,-11,-14
312,110,182,768,-218,-64,10
313,148,0,453,98,-1,11
314,0,48,650,-35,52,18
315,-81,-37,457,-117,12,3
316,-175,-120,406,132,-11,-1
317,-95,36,543,-82,-63,2
318,58,121,607,16,3,-11
319,161,71,867,-5,22,-10
320,107,115,638,-52,-23,6
321,105,-5,775,-10,-3,-6
322,-142,-70,907,-11,51,2
323,-197,-33,873,-33,41,5
324,-126,-33,715,10,-24,-11
325,58,-29,820,0,-55,-9
326,173,16,776,-4,-6,-10
327,115,212,874,20,33,-6
328,-12,-138,465,-37,0,22
329,-111,-25,329,-10,44,-5
330,-87,-69,498,-63,0,-1
331,-191,-81,379,11,-13,-5
332,17,-64,353,6,-9,-59
333,75,-58,415,-102,3,-18
334,303,90,374,62,36,-6
335,73,33,416,-59,41,0
336,-167,113,605,-11,52,8
337,-138,-87,765,-36,8,-11
338,-235,-8,648,-12,-11,5
339,25,-5,606,-17,-44,-12
340,171,25,710,8,-9,-21
341,135,160,802,-87,33,-5
342,106,-47,602,-35,75,-24
343,-59,-5,738,-23,55,-2
344,-212,108,459,-57,60,-9
345,-127,-124,387,-17,54,-37
