sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-52,45,990,-5,70,18
1,-416,47,910,-10,51,16
2,-465,-19,883,-18,-16,-6
3,-104,-77,1030,-8,-76,-4
4,357,-70,1093,3,-76,7
5,463,-20,1012,6,-11,3
6,208,27,1024,3,52,8
7,-210,60,963,-10,68,20
8,-496,18,861,-14,32,8
9,-365,-45,937,-11,-43,-8
10,111,-88,1075,-4,-85,2
11,446,-50,1069,3,-54,7
12,408,4,1012,11,17,1
13,37,38,1003,-2,69,14
14,-373,54,924,-10,61,19
15,-493,-9,863,-17,2,-1
16,-201,-70,1005,-13,-69,-6
17,305,-72,1101,3,-83,7
18,475,-29,1025,3,-26,5
19,279,21,1018,8,43,4
20,-147,52,976,-7,72,18
21,-463,34,881,-13,41,13
22,-409,-38,908,-17,-30,-7
23,13,-80,1064,-4,-85,-2
24,408,-60,1076,1,-65,8
25,432,-13,1011,10,3,3
26,110,31,1004,-1,62,12
27,-287,59,950,-8,66,21
28,-487,1,864,-18,15,3
29,-285,-51,974,-11,-55,-7
30,204,-79,1094,-3,-87,5
31,453,-42,1037,5,-40,7
32,349,9,1015,7,31,2
33,-45,45,993,-6,70,17
34,-415,48,908,-11,52,17
35,-467,-24,880,-19,-16,-5
36,-112,-71,1028,-9,-76,-4
37,359,-69,1092,2,-78,7
38,462,-25,1017,6,-12,2
39,211,24,1021,6,54,7
40,-207,63,966,-8,70,22
41,-499,18,864,-14,31,8
42,-366,-41,933,-14,-45,-9
43,100,-78,1077,-7,-86,1
44,452,-59,1069,5,-55,8
45,408,6,1011,7,17,1
46,38,42,1005,3,68,12
47,-369,45,921,-12,60,20
48,-495,-10,864,-15,3,-1
49,-205,-67,1010,-11,-71,-8
50,305,-76,1098,0,-83,7
51,469,-26,1030,9,-25,5
52,282,22,1011,3,42,4
53,-144,53,981,-4,73,21
54,-469,32,887,-17,40,14
55,-410,-34,904,-12,-29,-7
56,9,-80,1064,-8,-85,-1
57,406,-67,1073,3,-65,8
58,434,-5,1015,8,2,1
59,107,30,1000,0,62,10
60,-277,60,951,-7,65,22
61,-494,4,868,-18,16,4
62,-286,-56,968,-10,-56,-8
63,199,-78,1102,-4,-88,4
64,452,-47,1030,5,-40,6
65,353,16,1014,9,29,2
66,-42,40,991,-6,70,17
67,-412,46,913,-9,52,17
68,-465,-24,881,-18,-15,-4
69,-112,-76,1027,-10,-76,-4
70,353,-67,1094,2,-76,8
71,463,-20,1014,7,-11,3
72,214,26,1026,4,53,8
73,-210,60,965,-8,69,22
74,-497,22,862,-15,31,10
75,-365,-47,936,-15,-43,-6
76,100,-83,1076,-5,-86,1
77,447,-54,1066,6,-55,8
78,406,2,1011,7,16,2
79,38,39,1003,-1,67,13
80,-364,51,927,-11,59,19
81,-494,-6,865,-17,3,0
82,-207,-71,1005,-11,-68,-7
83,299,-71,1100,-3,-83,5
84,467,-31,1026,6,-26,5
85,284,17,1014,3,41,4
86,-143,53,980,-4,73,19
87,-460,33,885,-15,41,13
88,-412,-37,907,-15,-29,-7
89,0,-77,1060,-6,-83,-1
90,407,-62,1074,2,-66,8
91,434,-9,1015,9,2,3
92,116,32,1003,-1,62,10
93,-274,62,949,-5,67,21
94,-494,3,868,-18,17,3
95,-291,-57,964,-9,-55,-8
96,192,-75,1098,-3,-87,4
97,451,-49,1035,3,-40,6
98,359,14,1012,9,30,2
99,-40,50,996,-5,70,17
100,-409,41,909,-10,54,18
101,-468,-20,883,-18,-15,-4
102,-125,-70,1025,-9,-75,-5
103,359,-74,1093,0,-77,8
104,465,-21,1018,8,-13,3
105,220,25,1018,6,52,6
106,-202,63,974,-7,70,23
107,-501,18,862,-16,34,8
108,-369,-47,929,-14,-44,-7
109,94,-79,1077,-6,-85,1
110,449,-62,1072,5,-56,7
111,411,7,1011,7,15,0
112,47,43,1003,0,68,14
113,-360,44,926,-11,60,20
114,-497,-4,869,-17,5,0
115,-214,-69,1003,-11,-67,-7
116,293,-75,1102,-2,-87,6
117,470,-32,1022,8,-27,5
118,292,19,1014,4,41,4
119,-134,48,979,-3,72,19
120,-455,31,891,-15,43,13
121,-419,-29,904,-15,-27,-7
122,-6,-77,1061,-8,-85,-1
123,397,-66,1075,2,-66,9
124,439,-7,1012,9,0,2
125,128,29,1005,0,59,9
126,-267,62,951,-7,68,21
127,-490,8,866,-19,17,4
128,-301,-55,966,-14,-54,-7
129,181,-79,1094,-4,-86,4
130,448,-48,1036,4,-43,7
131,364,13,1017,8,29,3
132,-29,46,997,-7,71,16
133,-405,45,910,-9,53,16
134,-473,-15,881,-18,-11,-3
135,-129,-78,1019,-10,-75,-4
136,349,-72,1098,3,-77,7
137,468,-17,1021,5,-13,3
138,227,19,1021,3,51,7
139,-201,61,971,-6,69,20
140,-496,20,860,-17,34,9
